##grflangid 0x39
# This is the Japanese language file

# GRF name and description definitions
STR_GRF_NAME				:TIAS 0.1.5
STR_KS600_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 2-car< 京成 trains;８輌編成以上。{}
STR_KS600_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_KS600_CANNOT_ATTACH_OTHER 	:... no other cars other than 京成 units can be attached.

# 京成 Type 1500
STR_KS1500_NAME					:{LTBLUE}京成 {BLACK}1500 Type KAIUN (2 cars)
STR_KS1500_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD} Limited Express services. (Express Kaiun){}{GOLD}NOTES: {BLACK}Can be doubled in length by another 1500 Series unit set.{}
STR_KS1500_CANNOT_START			:... 車両多すぎ。４輌編成以上。
STR_KS1500_CANNOT_ATTACH_OTHER 	:... no other cars can be attached.

# 京成 Type 700, 2200
STR_KS700_2_NAME				:{LTBLUE}京成 {BLACK}700/2200 Type (2 cars)
STR_KS700_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 2-car< 京成 trains;８輌編成以上。{}
STR_KS700_4_NAME				:{LTBLUE}京成 {BLACK}700/2200 (4 cars)
STR_KS700_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{RED}WARNING!{GOLD} 京成 200/7000 (4 car) always needs to be first in consist to avoid graphical glitches.{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 2-car< 京成 trains except 700/2200 Type (2 cars);８輌編成以上。{}
STR_KS700_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_KS700_CANNOT_ATTACH_OTHER 	:... no other cars other than 京成 units can be attached.

# 京成 Type 1600
STR_KS1600_NAME					:{LTBLUE}京成 {BLACK}1600 Type KAIUN (2/3 cars)
STR_KS1600_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2, 3 after 1957{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD} Limited Express services. (Express Kaiun){}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KS1600_CANNOT_START			:... No other consists allowed.
STR_KS1600_CANNOT_ATTACH_OTHER 	:... no other cars can be attached.

# 京成 Type 3000, 3050, 1st Series
STR_KS3000_3050_2_NAME					:{LTBLUE}京成 {BLACK}3000/3050-1 Type (2 cars)
STR_KS3000_3050_4_NAME					:{LTBLUE}京成 {BLACK}3000/3050-1 Type (4 cars)
STR_KS3000_3050_6_NAME					:{LTBLUE}京成 {BLACK}3000/3050-1 Type (6 cars)
STR_KS3000_3050_8_NAME					:{LTBLUE}京成 {BLACK}3000/3050-1 Type (8 cars)
STR_KS3000_3050_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3000/3050 2 and 4-car Type units.{}
STR_KS3000_3050_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3000/3050 Type 2 and 4-car units.{}
STR_KS3000_3050_6_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3000/3050 Type 2-car units.{}
STR_KS3000_3050_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD} Limited Express services. (Express Kaiun){}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KS3000_3050_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_KS3000_3050_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than 3000, 3050 Type, 1st Series.

# 京成 Type 3100
STR_KS3100_2_NAME					:{LTBLUE}京成 {BLACK}3100 Type (2 cars)
STR_KS3100_4_NAME					:{LTBLUE}京成 {BLACK}3100 Type (4 cars)
STR_KS3100_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3100 Type units.{}
STR_KS3100_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3100 Type units.{}
STR_KS3100_CANNOT_START				:... 車両多すぎ。８輌編成以上。
STR_KS3100_CANNOT_ATTACH_OTHER		:... no other cars can be attached, other than 3100 Type.

# 京急 Type 1000, 1st Series
STR_KQ1000_1KS_2_NAME					:{RED}KQ {BLACK}1000 1st Type (2 cars)
STR_KQ1000_1KS_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 1000 1st Type units.{}
STR_KQ1000_1KSa_4_NAME					:{RED}KQ {BLACK}1000 1st Type (4 cars)
STR_KQ1000_1KSa_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 1000 1st Type 4-car units.{}
STR_KQ1000_1KSb_4_NAME					:{RED}KQ {BLACK}1000 1st new Type (4 cars)
STR_KQ1000_1KSb_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 1000 1st Type 4-car units.{}
STR_KQ1000_1KSa_8_NAME					:{RED}KQ {BLACK}1000 1st Type (8 cars)
STR_KQ1000_1KSa_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KQ1000_1KSb_8_NAME					:{RED}KQ {BLACK}1000 1st new Type (8 cars)
STR_KQ1000_1KSb_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KQ1000_1KS_CANNOT_START				:... 車両多すぎ。８輌編成以上。
STR_KQ1000_1KQ_2_NAME					:{RED}KQ {BLACK}1000 1st Type (2 cars) {GREEN} GROUP 2 
STR_KQ1000_1KQ_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 京急 Group 2 units.{}
STR_KQ1000_1KQa_4_NAME					:{RED}KQ {BLACK}1000 1st Type (4 cars) {GREEN} GROUP 2 
STR_KQ1000_1KQa_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 京急 Group 2 units.{}
STR_KQ1000_1KQb_4_NAME					:{RED}KQ {BLACK}1000 1st new Type (4 cars) {GREEN} GROUP 2 
STR_KQ1000_1KQb_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can be attached to other 京急 Group 2 units.{}
STR_KQ1000_1KQa_8_NAME					:{RED}KQ {BLACK}1000 1st Type (8 cars) {GREEN} GROUP 2 
STR_KQ1000_1KQa_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only have other 京急 Group 2 units attached.{}
STR_KQ1000_1KQb_8_NAME					:{RED}KQ {BLACK}1000 1st new Type (8 cars) {GREEN} GROUP 2 
STR_KQ1000_1KQb_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {RED}Keihin Express電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only have other 京急 Group 2 units attached.{}
STR_KQ1000_1KQ_CANNOT_START				:... 車両多すぎ。１２輌編成以上。
STR_KQ1000_1_CANNOT_ATTACH_OTHER		:... no other cars can be attached, other than 1000 1st Type.

# 新京成 Type 20~2000
STR_SKS20_1_NAME				:{CREAM}SKS {BLACK}Standard Type (1 car)
STR_SKS20_2_NAME				:{CREAM}SKS {BLACK}Standard Type (2 cars)
STR_SKS20_4_NAME				:{CREAM}SKS {BLACK}Standard Type (4 cars)
STR_SKS20_1_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 1{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}2nd-hand units bought from 京成. Can be attached to other 1-car 新京成 trains;８輌編成以上。{}
STR_SKS20_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}2nd-hand units bought from 京成. Can be attached to other 2-car< 新京成 trains;８輌編成以上。{}
STR_SKS20_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}2nd-hand units bought from 京成. Can be attached to other 2-car< 新京成 trains;８輌編成以上。{}
STR_SKS20_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_SKS20_CANNOT_ATTACH_OTHER 	:... no other cars other than 新京成 units can be attached.

# 京成 Type 3150
STR_KS3150_4_NAME				:{LTBLUE}京成 {BLACK}3150 Type (4 cars)
STR_KS3150_4_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3150 Type units.{}
STR_KS3150_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_KS3150_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than 3150 Type.

# 京成 Type 200, 2000
STR_KS200_2000_NAME					:{LTBLUE}京成 {BLACK}200, 2000 Type (4 cars)
STR_KS200_2000_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KS200_2000_CANNOT_START			:... 車両多すぎ。４輌編成以上。
STR_KS200_2000_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than 200, 2000 Type.

# 京成 Type 3200
STR_KS3200_4_NAME				:{LTBLUE}京成 {BLACK}3200 Type (4 cars)
STR_KS3200_4_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3200 Type 4-car units.{}
STR_KS3200_6_NAME				:{LTBLUE}京成 {BLACK}3200 Type (6 cars)
STR_KS3200_6_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KS3200_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_KS3200_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than 3200 Type.

# 京成 Type 3300
STR_KS3300_4_NAME				:{LTBLUE}京成 {BLACK}3300 Type (4 cars)
STR_KS3300_4_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3300 Type 4-car units. Random livery after 2009.{}
STR_KS3300_6_NAME				:{LTBLUE}京成 {BLACK}3300 Type (6 cars)
STR_KS3300_6_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KS3300_8_NAME				:{LTBLUE}京成 {BLACK}3300 Type (8 cars)
STR_KS3300_8_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KS3300_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_KS3300_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than 3300 Type.

# Toei Type 5000
STR_TOEI5000_2_NAME					:{WHITE}Toei {BLACK}5000 Type (2 cars)
STR_TOEI5000_2_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 2{}{BLACK}{TRAIN} 会社： {WHITE} Tokyo Metropolitan Bureau of Transport{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 5000 Type units.{}
STR_TOEI5000_4_NAME					:{WHITE}Toei {BLACK}5000 Type (4 cars)
STR_TOEI5000_4_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {WHITE} Tokyo Metropolitan Bureau of Transport{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 5000 Type 4-car units.{}
STR_TOEI5000_CANNOT_START			:... train too long, max. 8 cars.
STR_TOEI5000_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than 5000 Type.

# 新京成 Type 800
STR_SKS800_4_NAME				:{CREAM}SKS {BLACK}800 Type (4 cars)
STR_SKS800_4_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 800 Type 4-car units.{}
STR_SKS800_6_NAME				:{CREAM}SKS {BLACK}800 Type (6 cars)
STR_SKS800_6_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_SKS800_8_NAME				:{CREAM}SKS {BLACK}800 Type (8 cars)
STR_SKS800_8_ADDITIONAL_TEXT	:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_SKS800_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_SKS800_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than in the description.

# 京成 Type 3500
STR_KS3500_NAME					:{LTBLUE}京成 {BLACK}3500 Type (4 cars)
STR_KS3500_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 4{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Can only be attached to 3500 Type units.{}
STR_KS3500_CANNOT_START			:... 車両多すぎ。８輌編成以上。
STR_KS3500_CANNOT_ATTACH_OTHER 	:... no other cars can be attached, other than 3500 Type.

# 京成 Type AE1
STR_KSAE1_6_NAME				:{LTBLUE}京成 {BLACK}AE1 Type (6 cars)
STR_KSAE1_6_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD} Express services (Skyliner){}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KSAE1_8_NAME				:{LTBLUE}京成 {BLACK}AE1 Type (8 cars)
STR_KSAE1_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {LTBLUE}京成電気鉄道{}{BLACK}使い方：{GOLD} Express services (Skyliner){}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_KSAE1_CANNOT_START			:... 車両多すぎ。
STR_KSAE1_CANNOT_ATTACH_OTHER 	:... no other cars can be attached.

# Toei Type 5200
STR_TOEI5200_6_NAME					:{WHITE}Toei {BLACK}5200 Type (6 cars)
STR_TOEI5200_6_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {WHITE} Tokyo Metropolitan Bureau of Transport{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_TOEI5200_8_NAME					:{WHITE}Toei {BLACK}5200 Type (8 cars)
STR_TOEI5200_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {WHITE} Tokyo Metropolitan Bureau of Transport{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_TOEI5200_CANNOT_START			:... 車両多すぎ。
STR_TOEI5200_CANNOT_ATTACH_OTHER 	:... no other cars can be attached.

# 新京成 Type 8000
STR_SKS8000_NAME					:{CREAM}SKS {BLACK}8000 Type (6 cars)
STR_SKS8000_ADDITIONAL_TEXT			:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {CREAM}新京成電気鉄道{}{BLACK}使い方： {GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train. Random livery after 2001.{}
STR_SKS8000_CANNOT_START			:... 車両多すぎ。 Max. 6 cars.
STR_SKS8000_CANNOT_ATTACH_OTHER 	:... no other cars can be attached.

# 北総 Kaihatsu Type 7000
STR_HKT7000_6_NAME					:{YELLOW}HKT {BLACK}7000 Type (6 cars)
STR_HKT7000_6_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {YELLOW}北総開発鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_HKT7000_8_NAME					:{YELLOW}HKT {BLACK}7000 Type (8 cars)
STR_HKT7000_8_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 8{}{BLACK}{TRAIN} 会社： {YELLOW}北総開発鉄道{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_HKT7000_CANNOT_START			:... 車両多すぎ。
STR_HKT7000_CANNOT_ATTACH_OTHER 	:... no other cars can be attached.

# Chiba New Town Type 2000/9000
STR_CNT9000_6_NAME					:{ORANGE}JTSK {BLACK}2000 Type (6 cars)
STR_CNT9000_6_ADDITIONAL_TEXT		:{BLACK}車両：{GOLD} 6{}{BLACK}{TRAIN} 会社： {ORANGE}Housing and開発 Corporation{}{BLACK}使い方：{GOLD}通勤列車{}{GOLD}NOTES: {BLACK}Cannot be attached to any other train.{}
STR_CNT9000_8_NAME					:{ORANGE}JTSK{BLACK}/{PURPLE}UDC{BLACK}/{DKGREEN}CNT {BLACK}2000/9000 Type (8 cars)
